序号 性格 颜值 身高 他人建议 结果
01 合适 高颜 身高符合 建议合适 值得交往
02 合适 高颜 身高符合 建议不合适 值得交往
03 中性 高颜 身高符合 建议合适 值得交往
04 不和 低颜 身高不符合 建议合适 再考虑考虑
05 不和 均衡 身高不符合 建议合适 再考虑考虑
06 不和 均衡 身高不符合 建议不合适 再考虑考虑
07 中性 均衡 身高不符合 建议不合适 再考虑考虑
08 合适 低颜 身高符合 建议合适 值得交往
09 合适 均衡 身高不符合 建议合适 再考虑考虑
10 不和 低颜 身高不符合 建议合适 再考虑考虑
11 合适 低颜 身高不符合 建议不合适 再考虑考虑
12 中性 低颜 身高符合 建议不合适 再考虑考虑
13 中性 高颜 身高不符合 建议合适 再考虑考虑
14 不和 低颜 身高符合 建议不合适 值得交往
15 中性 高颜 身高不符合 建议合适 值得交往
16 中性 高颜 身高不符合 建议合适 值得交往
17 中性 高颜 身高不符合 建议合适 值得交往
18 中性 高颜 身高不符合 建议合适 值得交往
19 中性 高颜 身高不符合 建议合适 值得交往
20 不和 低颜 身高不符合 建议合适 再考虑考虑
21 不和 均衡 身高不符合 建议合适 再考虑考虑
22 不和 均衡 身高不符合 建议不合适 再考虑考虑
23 中性 均衡 身高不符合 建议不合适 再考虑考虑
24 中性 均衡 身高不符合 建议不合适 再考虑考虑
25 合适 低颜 身高符合 建议合适 值得交往
26 合适 均衡 身高不符合 建议合适 再考虑考虑
27 不和 低颜 身高不符合 建议合适 再考虑考虑
28 合适 均衡 身高不符合 建议合适 值得交往
29 合适 均衡 身高不符合 建议合适 值得交往
30 合适 均衡 身高不符合 建议合适 值得交往
31 合适 均衡 身高不符合 建议合适 值得交往
32 不和 均衡 身高不符合 建议合适 再考虑考虑
33 不和 均衡 身高不符合 建议不合适 再考虑考虑
34 中性 均衡 身高符合 建议合适 再考虑考虑
35 不和 均衡 身高不符合 建议合适 再考虑考虑
36 不和 均衡 身高符合 建议合适 再考虑考虑
37 中性 均衡 身高不符合 建议不合适 再考虑考虑
38 合适 高颜 身高符合 建议合适 值得交往
39 合适 高颜 身高符合 建议不合适 值得交往
40 中性 高颜 身高符合 建议合适 值得交往
41 不和 低颜 身高不符合 建议合适 再考虑考虑
42 不和 均衡 身高不符合 建议合适 再考虑考虑
43 不和 均衡 身高不符合 建议不合适 再考虑考虑
44 中性 均衡 身高不符合 建议不合适 再考虑考虑
45 合适 低颜 身高符合 建议合适 值得交往
46 合适 均衡 身高不符合 建议不合适 再考虑考虑
47 不和 低颜 身高不符合 建议合适 再考虑考虑
48 合适 低颜 身高不符合 建议不合适 再考虑考虑
49 中性 低颜 身高符合 建议不合适 再考虑考虑
50 中性 高颜 身高不符合 建议合适 再考虑考虑
51 不和 低颜 身高符合 建议不合适 值得交往
52 中性 高颜 身高不符合 建议合适 值得交往
53 中性 高颜 身高不符合 建议合适 值得交往
54 中性 高颜 身高不符合 建议合适 值得交往
55 中性 高颜 身高不符合 建议合适 值得交往
56 中性 高颜 身高不符合 建议合适 值得交往
57 不和 低颜 身高不符合 建议合适 再考虑考虑
58 不和 均衡 身高不符合 建议不合适 再考虑考虑
59 不和 均衡 身高不符合 建议不合适 再考虑考虑
60 中性 均衡 身高不符合 建议不合适 再考虑考虑
61 中性 均衡 身高不符合 建议不合适 再考虑考虑
62 合适 低颜 身高符合 建议合适 值得交往
63 合适 均衡 身高不符合 建议合适 再考虑考虑
64 不和 低颜 身高不符合 建议不合适 再考虑考虑
65 合适 均衡 身高不符合 建议合适 值得交往
66 合适 均衡 身高不符合 建议合适 值得交往
67 合适 均衡 身高不符合 建议合适 值得交往
68 合适 均衡 身高不符合 建议合适 值得交往
69 不和 均衡 身高不符合 建议不合适 再考虑考虑
70 不和 均衡 身高不符合 建议不合适 再考虑考虑
71 中性 均衡 身高符合 建议不合适 再考虑考虑
72 不和 均衡 身高不符合 建议合适 再考虑考虑
73 不和 均衡 身高符合 建议不合适 再考虑考虑
74 中性 均衡 身高不符合 建议不合适 再考虑考虑














